antecedent,consequent,support,confidence,lift,count
period=night; day_type=weekend,Low,0.06470843696948163,0.8970990695128627,3.5857065380608013,1639
period=night; day_type=weekend; weather_main=Clouds,Low,0.02009554265861266,0.8961267605633803,3.5818202175019502,509
period=night; day_type=weekend; weather_main=Clear,Low,0.023372418966402148,0.8888888888888888,3.5528904318552414,592
period=night; weather_main=Snow,Low,0.015357890165423034,0.8881278538812786,3.54984857360879,389
period=morning; day_type=weekday; weather_main=Mist,Severe,0.013936594417466145,0.8781094527363185,3.5131313107499937,353
period=night; weather_main=Clear,Low,0.07532867464171503,0.8621780388612743,3.4461271179291804,1908
period=night,Low,0.21540526669035492,0.8541014402003757,3.413844939061909,5456
period=night; weather_main=Clouds,Low,0.07138063089739034,0.8528301886792453,3.408763744525265,1808
period=morning; day_type=weekday; weather_main=Clear,Severe,0.027202021398397093,0.8506172839506173,3.4031409232641265,689
period=night; day_type=weekday; weather_main=Clear,Low,0.05195625567531288,0.8506787330316742,3.4001643725673465,1316
period=night; day_type=weekday; weather_main=Snow,Low,0.01034387461013068,0.8478964401294499,3.3890435430075483,262
period=night; day_type=weekday; weather_main=Rain,Low,0.012436337794622764,0.8467741935483871,3.3845579214750035,315
period=late; weather_main=Rain,Medium,0.012041533420190296,0.8448753462603878,3.381236790240064,305
period=night; weather_main=Rain,Low,0.01677918591337992,0.8432539682539683,3.3704875748626733,425
period=late; day_type=weekday; weather_main=Clouds,Medium,0.0390856330688144,0.8389830508474576,3.357655505595711,990
period=night; day_type=weekday; weather_main=Clouds,Low,0.051285088238777685,0.8369845360824743,3.3454286435904987,1299
period=night; day_type=weekday,Low,0.1506968297208733,0.8368778776584083,3.345002329684365,3817
period=late; weather_main=Clouds,Medium,0.05475936673378341,0.8350391330523781,3.341871733462425,1387
period=late; day_type=weekend; weather_main=Clouds,Medium,0.01567373366496901,0.8253638253638254,3.3031506292684996,397
period=night; weather_main=Mist,Low,0.02297761459196968,0.8243626062322946,3.294978768069716,582
period=midday; day_type=weekend; weather_main=Clouds,High,0.02613604958742943,0.8233830845771144,3.2936623735397554,662
period=late; day_type=weekend,Medium,0.0397568005053496,0.8227124183006536,3.292539554927675,1007
period=late,Medium,0.14047139642307238,0.8226589595375723,3.292325610069074,3558
period=late; day_type=weekday,Medium,0.10071459591772276,0.8226378587552402,3.2922411635979585,2551
period=late; day_type=weekday; weather_main=Clear,Medium,0.036637845947333096,0.8197879858657244,3.280835818295613,928
period=morning; day_type=weekday,Severe,0.09574006079987367,0.8192567567567568,3.2776740470528973,2425
period=late; weather_main=Clear,Medium,0.051324568676220934,0.818639798488665,3.276240710368051,1300
period=late; day_type=weekend; weather_main=Clear,Medium,0.014686722728887837,0.8157894736842105,3.2648335564777007,372
period=midday; day_type=weekend; weather_main=Clear,High,0.01741087291247187,0.8062157221206582,3.224990212506973,441
period=morning; day_type=weekday; weather_main=Clouds,Severe,0.03561135457380868,0.7989371124889283,3.196379422244837,902
period=midday; day_type=weekend,High,0.05657546685617277,0.7987736900780379,3.195220909031368,1433
period=night; day_type=weekday; weather_main=Mist,Low,0.016384381538947453,0.7980769230769231,3.189914846870031,415
period=evening; day_type=weekend; weather_main=Clear,High,0.011133483358995618,0.7663043478260869,3.065338412205773,282
period=evening; day_type=weekend; weather_main=Clouds,High,0.016226459789174464,0.7639405204460966,3.0558827293713176,411
period=evening; day_type=weekend,High,0.03486122626238699,0.7445193929173693,2.9781951521168746,883
period=morning; day_type=weekend; weather_main=Clear,Medium,0.010146472422914447,0.6710182767624021,2.685451403399413,257
period=morning; day_type=weekend,Medium,0.030084093331754116,0.6403361344537815,2.5626598119102275,762
period=morning; weather_main=Mist,Severe,0.013936594417466145,0.6371841155234657,2.54923968758393,353
period=midday; weather_main=Snow,High,0.011251924671325358,0.6277533039647577,2.511112355673302,285
