hour,count,mean
0,273,100.87416814289911
1,273,63.58511216791772
2,264,48.3818084037736
3,270,30.504998518229748
4,272,62.39981737650928
5,272,172.20977260429763
6,272,189.16890206699568
7,271,309.5766287108097
8,272,319.16262898233305
9,272,273.6778579660261
10,273,237.63132356922603
11,273,251.54109138721876
12,273,252.99378545379858
13,273,261.8687641006673
14,273,284.50737029637804
15,273,277.15232526353475
16,273,368.79259640070734
17,273,338.1130621796431
18,273,296.2622779429812
19,273,248.8844467020078
20,273,237.61041218814134
21,273,272.1232147772265
22,273,321.19917680191696
23,273,260.57429492008276
