weather_main,count,mean,median
Clear,2328,202.39717441219474,116.78919053754976
Clouds,1996,224.6038564869477,156.9461061109398
Drizzle,31,165.44337396404617,77.13257337125015
Fog,123,145.04411466777728,90.83379577817061
Haze,93,270.9482018817878,129.00659536501644
Mist,627,158.49902525429982,92.6585604478887
Rain,549,176.0338418104297,122.72043688455142
Smoke,2,450.3234655645417,450.3234655645417
Snow,516,530.4846263229455,296.090712459414
Thunderstorm,268,206.11598812968063,138.79159229375864
