weather,n,accuracy,precision,recall,f1
Clear,2328,1.0,0.0,0.0,0.0
Clouds,1996,1.0,0.0,0.0,0.0
Drizzle,31,1.0,0.0,0.0,0.0
Fog,123,0.991869918699187,0.9705882352941176,1.0,0.9850746268656716
Haze,93,0.989247311827957,0.9836065573770492,1.0,0.9917355371900827
Mist,627,0.9728867623604466,0.9553264604810997,0.9858156028368794,0.9703315881326352
Rain,549,1.0,0.0,0.0,0.0
Smoke,2,1.0,1.0,1.0,1.0
Snow,516,0.8682170542635659,0.7661870503597122,0.9861111111111112,0.8623481781376519
Thunderstorm,268,0.9328358208955224,0.8918918918918919,0.9850746268656716,0.9361702127659575
