feature,mean_abs_shap
numeric__hour_cos,1460.8172091061372
numeric__hour,427.38264517002386
numeric__hour_sin,202.46308338970627
numeric__day_of_week,148.18400626602588
numeric__day_of_week_sin,141.77434396380085
numeric__weekend,127.60337651933493
numeric__temp,65.06828621866613
numeric__holiday_flag,58.9560477339864
numeric__day_of_week_cos,52.426462397866544
numeric__month,50.52663914848702
numeric__clouds_all,17.638485884243288
numeric__severe_weather,5.1371780979340755
numeric__rain_1h,4.967958461622075
weather__weather_main_Snow,4.581748110352014
weather__weather_main_Clouds,4.122255302427503
numeric__is_low_visibility,2.8667776282054134
weather__weather_main_Clear,2.439865355414382
weather__weather_main_Mist,1.816104166153672
weather__weather_main_Thunderstorm,1.1703285955928082
weather__weather_main_Rain,1.120904275665191
weather__weather_main_Haze,0.3104154287170849
weather__weather_main_Fog,0.17610249988246332
numeric__snow_1h,0.001218548752197716
weather__weather_main_Drizzle,0.00040442418938052896
weather__weather_main_Smoke,0.0
weather__weather_main_Squall,0.0
